,category,pass_rate,mean_attempts
10,1_01,0.68,1.5147058823529411
9,1_02,0.73,1.2191780821917808
14,2_01,0.125,1.6666666666666667
12,2_02,0.5,1.76
11,2_03,0.32,2.78125
13,2_04,0.30833333333333335,2.4324324324324325
8,3_01,0.04,4.0
1,3_02,0.225,2.7777777777777777
0,3_03,0.175,2.7857142857142856
5,3_04,0.15,2.8333333333333335
2,3_05,0.11,2.8181818181818183
3,3_06,0.38333333333333336,2.3260869565217392
6,3_07,0.44,2.1136363636363638
7,3_08,0.075,4.0
4,3_09,0.25625,3.4146341463414633
