,category,pass_rate,mean_attempts
0,1_01,0.57,1.0350877192982457
1,1_02,0.68,1.0441176470588236
2,2_01,0.5,1.75
3,2_02,0.11,2.090909090909091
4,2_03,0.46,1.934782608695652
5,2_04,0.0,
6,3_01,0.02,3.0
7,3_02,0.1375,2.090909090909091
8,3_03,0.075,2.3333333333333335
9,3_04,0.0,
10,3_05,0.12,2.1666666666666665
11,3_06,0.4166666666666667,2.3
12,3_07,0.11,2.3636363636363638
13,3_08,0.0,
14,3_09,0.012658227848101266,1.0
