template,train_pct,test_pct,gen_gap,train_n,test_n
1,52.63157894736842,40.0,12.631578947368418,19,5
2,42.10526315789473,20.0,22.105263157894733,19,5
4,26.31578947368421,20.0,6.315789473684209,19,5
5,36.84210526315789,0.0,36.84210526315789,19,5
6,0.0,0.0,0.0,19,4
